bill_no,date,store_id,cat_id,sku_id,units_sold
INV-001,2024-04-05,store_001,cat_ac,ac_001,1
INV-001,2024-04-05,store_001,cat_dry,dry_001,1
INV-002,2024-04-06,store_001,cat_flw,flw_001,1
INV-002,2024-04-06,store_001,cat_dry,dry_001,1
INV-003,2024-04-07,store_001,cat_ddf,ddf_001,1
INV-003,2024-04-07,store_001,cat_dish,dish_001,1
INV-004,2024-04-08,store_001,cat_ac,ac_002,1
INV-005,2024-05-02,store_001,cat_ac,ac_001,1
INV-006,2024-05-05,store_001,cat_ddf,ddf_001,1
INV-006,2024-05-05,store_001,cat_oven,oven_001,1
INV-007,2024-05-10,store_001,cat_flw,flw_002,1
INV-007,2024-05-10,store_001,cat_wdr,wdr_001,1
INV-008,2024-06-01,store_001,cat_ac,ac_001,1
INV-009,2024-06-03,store_001,cat_ac,ac_001,1
INV-009,2024-06-03,store_001,cat_ddf,ddf_001,1
INV-010,2024-06-05,store_001,cat_flw,flw_001,1
INV-010,2024-06-05,store_001,cat_dry,dry_001,1
INV-011,2024-06-07,store_001,cat_tlw,tlw_001,1
INV-012,2024-06-12,store_001,cat_ddf,ddf_002,1
INV-012,2024-06-12,store_001,cat_dish,dish_001,1
INV-013,2024-07-02,store_001,cat_ac,ac_001,1
INV-014,2024-07-05,store_001,cat_flw,flw_001,1
INV-014,2024-07-05,store_001,cat_dry,dry_001,1
INV-015,2024-08-03,store_001,cat_tlw,tlw_001,1
INV-016,2024-08-07,store_001,cat_ddf,ddf_001,1
INV-016,2024-08-07,store_001,cat_dish,dish_001,1
INV-017,2024-09-04,store_001,cat_flw,flw_002,1
INV-018,2024-10-03,store_001,cat_ddf,ddf_001,1
INV-018,2024-10-03,store_001,cat_oven,oven_001,1
INV-019,2024-10-05,store_001,cat_ac,ac_001,1
INV-020,2024-10-08,store_001,cat_flw,flw_001,1
INV-020,2024-10-08,store_001,cat_dry,dry_001,1
INV-021,2024-11-02,store_001,cat_oven,oven_001,1
INV-021,2024-11-02,store_001,cat_ddf,ddf_001,1
INV-022,2024-12-01,store_001,cat_oven,oven_001,1
INV-023,2024-12-08,store_001,cat_sdf,sdf_001,1
INV-024,2024-12-10,store_001,cat_ddf,ddf_001,1
INV-024,2024-12-10,store_001,cat_dish,dish_001,1
INV-025,2025-01-06,store_001,cat_flw,flw_001,1
INV-025,2025-01-06,store_001,cat_dry,dry_001,1
INV-026,2025-02-03,store_001,cat_sdf,sdf_002,1
INV-027,2025-03-04,store_001,cat_flw,flw_001,1
INV-027,2025-03-04,store_001,cat_wdr,wdr_001,1
